method,split,field,horizon,window_id,mu_id,k0,abs_mean,abs_max,abs_fin,rel_mean,rel_max,rel_fin,mse_fin,run
vanilla,extrap,u_fine,320,0,170,573,6.3708953857421875,11.062983512878418,5.145240306854248,0.12854677438735962,0.18287204205989838,0.12810570001602173,0.025853024795651436,5
vanilla,extrap,u_fine,320,1,170,642,5.3168253898620605,11.462632179260254,3.7345645427703857,0.11700403690338135,0.190571591258049,0.10613718628883362,0.013620089739561081,5
vanilla,extrap,u_fine,320,2,170,557,6.272624492645264,10.808540344238281,7.155660629272461,0.12698157131671906,0.17851746082305908,0.1398448646068573,0.05000339448451996,5
vanilla,extrap,u_fine,320,3,170,544,5.9515461921691895,10.437150001525879,7.661872863769531,0.12190564721822739,0.17194247245788574,0.13658401370048523,0.05732841044664383,5
vanilla,extrap,u_fine,320,4,170,643,5.309154033660889,11.438373565673828,3.7587647438049316,0.11705935001373291,0.19015103578567505,0.106499083340168,0.013797180727124214,5
vanilla,extrap,u_fine,320,5,170,658,4.757427215576172,10.25639820098877,4.737584590911865,0.10686703026294708,0.1686209738254547,0.12236515432596207,0.021918661892414093,5
vanilla,extrap,u_fine,320,6,170,515,5.3969340324401855,9.720848083496094,9.59462833404541,0.11655297130346298,0.15982626378536224,0.15728461742401123,0.08989930897951126,5
vanilla,extrap,u_fine,320,7,170,511,5.3218841552734375,9.707220077514648,9.707220077514648,0.1157163605093956,0.15973934531211853,0.15969344973564148,0.09202161431312561,5
vanilla,extrap,u_fine,320,8,170,621,5.156604290008545,10.711751937866211,3.104764461517334,0.10889702290296555,0.17649096250534058,0.0883520096540451,0.009413635358214378,5
vanilla,extrap,u_fine,320,9,170,561,6.310893535614014,10.893336296081543,6.48331356048584,0.1274886578321457,0.17990337312221527,0.13379186391830444,0.04104819893836975,5
vanilla,extrap,u_fine,320,10,127,604,4.606822967529297,8.86313247680664,4.829858779907227,0.10908427089452744,0.17678311467170715,0.10988161712884903,0.02278079465031624,5
vanilla,extrap,u_fine,320,11,127,528,5.208896160125732,8.869915962219238,5.341924667358398,0.11646568775177002,0.1808783859014511,0.1532619595527649,0.02786734513938427,5
vanilla,extrap,u_fine,320,12,127,655,4.936893939971924,8.693472862243652,8.693472862243652,0.11110275238752365,0.15622317790985107,0.15423306822776794,0.07380514591932297,5
vanilla,extrap,u_fine,320,13,127,582,4.3281707763671875,7.904673099517822,4.825763702392578,0.10256043821573257,0.15195074677467346,0.12058702111244202,0.02274218015372753,5
vanilla,extrap,u_fine,320,14,127,662,4.9309492111206055,8.502188682556152,8.09934139251709,0.10971122980117798,0.1508394479751587,0.14749448001384735,0.06406185775995255,5
vanilla,extrap,u_fine,320,15,127,644,4.935069561004639,8.97763442993164,7.640826225280762,0.11314494907855988,0.1636246293783188,0.1388479620218277,0.05701389163732529,5
vanilla,extrap,u_fine,320,16,127,627,5.2595086097717285,9.67475414276123,5.6310811042785645,0.12350793182849884,0.19201289117336273,0.11128153651952744,0.03096589259803295,5
vanilla,extrap,u_fine,320,17,127,542,5.123782634735107,8.732358932495117,5.319819450378418,0.11669305711984634,0.17952050268650055,0.15721328556537628,0.027637189254164696,5
vanilla,extrap,u_fine,320,18,127,639,5.0431365966796875,9.178606033325195,6.9961442947387695,0.11668749153614044,0.17307691276073456,0.13012829422950745,0.04779886454343796,5
vanilla,extrap,u_fine,320,19,127,510,5.3672332763671875,9.049646377563477,6.72422456741333,0.11833558231592178,0.18452398478984833,0.16999229788780212,0.04415546730160713,5
vanilla,extrap,u_fine,320,20,102,603,2.7392947673797607,4.422844886779785,4.2524824142456055,0.06370329856872559,0.10039308667182922,0.07996922731399536,0.01765977218747139,5
vanilla,extrap,u_fine,320,21,102,573,2.559910297393799,4.164458274841309,3.0420327186584473,0.06087813526391983,0.09270405024290085,0.06567201018333435,0.009037073701620102,5
vanilla,extrap,u_fine,320,22,102,680,2.8032679557800293,4.479704856872559,3.3761672973632812,0.0632781982421875,0.09368108958005905,0.09368108958005905,0.011131353676319122,5
vanilla,extrap,u_fine,320,23,102,536,2.6337108612060547,4.4308295249938965,2.233365058898926,0.06255326420068741,0.08906377851963043,0.05787940323352814,0.004871014971286058,5
vanilla,extrap,u_fine,320,24,102,671,2.8088765144348145,4.3280768394470215,3.326559066772461,0.06293932348489761,0.08820527791976929,0.08661200851202011,0.010806635953485966,5
vanilla,extrap,u_fine,320,25,102,517,2.5717666149139404,4.132195949554443,1.9401378631591797,0.05999772623181343,0.09091004729270935,0.051232848316431046,0.003675913205370307,5
vanilla,extrap,u_fine,320,26,102,613,2.695484161376953,4.500895023345947,3.7775442600250244,0.061695534735918045,0.09487949311733246,0.07142175734043121,0.0139353908598423,5
vanilla,extrap,u_fine,320,27,102,605,2.7260072231292725,4.413259029388428,4.134254455566406,0.0632014200091362,0.09909364581108093,0.077459417283535,0.01669146493077278,5
vanilla,extrap,u_fine,320,28,102,662,2.701038360595703,4.332849979400635,3.617046594619751,0.060296107083559036,0.08706203103065491,0.08706203103065491,0.012776392512023449,5
vanilla,extrap,u_fine,320,29,102,554,2.4565792083740234,4.102630615234375,2.299689769744873,0.05873044207692146,0.08926671743392944,0.05600937828421593,0.005164622329175472,5
vanilla,extrap,u_fine,320,30,53,663,5.45508337020874,10.1183500289917,3.0612335205078125,0.11385190486907959,0.17141874134540558,0.08329762518405914,0.009151514619588852,5
vanilla,extrap,u_fine,320,31,53,621,5.4419846534729,9.4181547164917,6.450467109680176,0.11327169090509415,0.16002263128757477,0.12963172793388367,0.04063332453370094,5
vanilla,extrap,u_fine,320,32,53,661,5.484429836273193,10.1602144241333,3.231606960296631,0.11425759643316269,0.17208373546600342,0.08700207620859146,0.010198518633842468,5
vanilla,extrap,u_fine,320,33,53,536,4.593017101287842,9.611600875854492,6.035429954528809,0.10430999845266342,0.1631799191236496,0.1390128880739212,0.03557267040014267,5
vanilla,extrap,u_fine,320,34,53,637,5.653523921966553,9.867643356323242,4.724267959594727,0.1164226084947586,0.1674131602048874,0.11248238384723663,0.021795611828565598,5
vanilla,extrap,u_fine,320,35,53,670,5.359749794006348,10.086082458496094,2.6944844722747803,0.1125650405883789,0.17091433703899384,0.07618828862905502,0.007090084720402956,5
vanilla,extrap,u_fine,320,36,53,509,5.2201714515686035,10.057245254516602,4.794050693511963,0.11681114882230759,0.17067837715148926,0.1335783302783966,0.022444259375333786,5
vanilla,extrap,u_fine,320,37,53,566,5.728549957275391,10.364365577697754,8.938861846923828,0.1286567747592926,0.17574045062065125,0.16825224459171295,0.07803051173686981,5
vanilla,extrap,u_fine,320,38,53,615,5.298913478851318,9.37945556640625,7.80409574508667,0.11076885461807251,0.1594337522983551,0.1454661786556244,0.059476472437381744,5
vanilla,extrap,u_fine,320,39,53,519,4.820679664611816,9.872769355773926,5.095108509063721,0.10867541283369064,0.16731983423233032,0.13212381303310394,0.025351691991090775,5
vanilla,extrap,u_fine,320,40,61,592,10.114483833312988,21.706287384033203,4.365368366241455,0.1837230920791626,0.31207984685897827,0.12688522040843964,0.018609805032610893,5
vanilla,extrap,u_fine,320,41,61,614,8.481103897094727,20.661035537719727,3.622307777404785,0.15767255425453186,0.29642829298973083,0.10700476169586182,0.012813586741685867,5
vanilla,extrap,u_fine,320,42,61,638,7.523230075836182,20.034164428710938,4.903867244720459,0.15010672807693481,0.28706350922584534,0.14005796611309052,0.02348428964614868,5
vanilla,extrap,u_fine,320,43,61,667,8.130609512329102,20.58097267150879,9.277491569519043,0.1728690266609192,0.29534047842025757,0.2094251960515976,0.08405454456806183,5
vanilla,extrap,u_fine,320,44,61,574,10.491360664367676,21.650279998779297,4.219437599182129,0.18860368430614471,0.3112392723560333,0.10464047640562057,0.017386380583047867,5
vanilla,extrap,u_fine,320,45,61,580,10.472890853881836,21.736989974975586,4.044485092163086,0.1888984739780426,0.3125050961971283,0.10809089988470078,0.01597447134554386,5
vanilla,extrap,u_fine,320,46,61,586,10.363703727722168,21.780254364013672,4.1598334312438965,0.18768493831157684,0.31320688128471375,0.11714502424001694,0.016898643225431442,5
vanilla,extrap,u_fine,320,47,61,672,8.05720043182373,20.459402084350586,10.111483573913574,0.17070916295051575,0.29343941807746887,0.21407265961170197,0.09984579682350159,5
vanilla,extrap,u_fine,320,48,61,536,9.945629119873047,21.234004974365234,15.127950668334961,0.1819622665643692,0.30502671003341675,0.23364615440368652,0.2234911173582077,5
vanilla,extrap,u_fine,320,49,61,590,10.209709167480469,21.739809036254883,4.295517444610596,0.18526533246040344,0.31255796551704407,0.12379856407642365,0.018019013106822968,5
vanilla,extrap,u_fine,320,50,8,509,6.902278423309326,14.313666343688965,5.55177116394043,0.15118303894996643,0.22830824553966522,0.15989744663238525,0.030099768191576004,5
