method,split,field,horizon,window_id,mu_id,k0,abs_mean,abs_max,abs_fin,rel_mean,rel_max,rel_fin,mse_fin,run
vanilla,extrap,u_fine,320,0,170,573,8.395163536071777,13.928544044494629,7.452845096588135,0.17206235229969025,0.23091791570186615,0.1855602115392685,0.0542430654168129,9
vanilla,extrap,u_fine,320,1,170,642,6.054847717285156,11.5127534866333,6.033769130706787,0.1363212913274765,0.18872840702533722,0.17148110270500183,0.03555309772491455,9
vanilla,extrap,u_fine,320,2,170,557,8.570121765136719,13.977721214294434,9.461137771606445,0.17675773799419403,0.23248222470283508,0.1849013864994049,0.08741515874862671,9
vanilla,extrap,u_fine,320,3,170,544,8.377750396728516,13.603782653808594,10.771280288696289,0.17474053800106049,0.22831469774246216,0.1920137256383896,0.11330124735832214,9
vanilla,extrap,u_fine,320,4,170,643,6.050950527191162,11.503907203674316,6.137701034545898,0.13647811114788055,0.1885833889245987,0.1739027500152588,0.0367884486913681,9
vanilla,extrap,u_fine,320,5,170,658,6.16249418258667,11.59640121459961,8.037165641784668,0.14182135462760925,0.20758870244026184,0.20758870244026184,0.06308206915855408,9
vanilla,extrap,u_fine,320,6,170,515,8.053268432617188,13.186482429504395,13.165488243103027,0.17533467710018158,0.2254665493965149,0.21582166850566864,0.1692676544189453,9
vanilla,extrap,u_fine,320,7,170,511,7.935056209564209,13.157703399658203,13.157703399658203,0.1741369217634201,0.22571910917758942,0.21645735204219818,0.16906753182411194,9
vanilla,extrap,u_fine,320,8,170,621,7.789343357086182,13.731668472290039,6.031583786010742,0.16792042553424835,0.22655896842479706,0.17164024710655212,0.03552734851837158,9
vanilla,extrap,u_fine,320,9,170,561,8.575384140014648,14.033019065856934,8.567111015319824,0.1764371693134308,0.2329789400100708,0.17679381370544434,0.07167518138885498,9
vanilla,extrap,u_fine,320,10,127,604,4.7603349685668945,7.656833648681641,5.454812049865723,0.11432379484176636,0.14905484020709991,0.12409960478544235,0.029057592153549194,9
vanilla,extrap,u_fine,320,11,127,528,5.412994384765625,9.086993217468262,4.960172176361084,0.12111008167266846,0.1635606437921524,0.14230933785438538,0.024026669561862946,9
vanilla,extrap,u_fine,320,12,127,655,5.278113842010498,9.410990715026855,9.410990715026855,0.11999809741973877,0.1673525720834732,0.16696272790431976,0.08649095892906189,9
vanilla,extrap,u_fine,320,13,127,582,5.561837673187256,8.753364562988281,6.072087287902832,0.13314203917980194,0.17309021949768066,0.15173037350177765,0.03600609675049782,9
vanilla,extrap,u_fine,320,14,127,662,5.333193302154541,9.655269622802734,9.567903518676758,0.11973142623901367,0.17424868047237396,0.17423799633979797,0.08939920365810394,9
